block,price,ts,started_at
13481825,398028349972,1635100060,1635100060
13481826,398028349972,1635100060,1635100060
13481827,398028349972,1635100060,1635100060
13481828,398028349972,1635100060,1635100060
13481829,398028349972,1635100060,1635100060
13481830,398028349972,1635100060,1635100060
13481831,398028349972,1635100060,1635100060
13481832,398028349972,1635100060,1635100060
13481833,398028349972,1635100060,1635100060
13481834,398028349972,1635100060,1635100060
13481835,398028349972,1635100060,1635100060
13481836,398028349972,1635100060,1635100060
13481837,398028349972,1635100060,1635100060
13481838,398028349972,1635100060,1635100060
13481839,398028349972,1635100060,1635100060
13481840,398028349972,1635100060,1635100060
13481841,398028349972,1635100060,1635100060
13481842,398028349972,1635100060,1635100060
13481843,398028349972,1635100060,1635100060
13481844,398028349972,1635100060,1635100060
13481845,398028349972,1635100060,1635100060
13481846,398028349972,1635100060,1635100060
13481847,398028349972,1635100060,1635100060
13481848,398028349972,1635100060,1635100060
13481849,398028349972,1635100060,1635100060
13481850,398028349972,1635100060,1635100060
13481851,398028349972,1635100060,1635100060
13481852,398028349972,1635100060,1635100060
13481853,398028349972,1635100060,1635100060
13481854,398028349972,1635100060,1635100060
13481855,398028349972,1635100060,1635100060
13481856,398028349972,1635100060,1635100060
13481857,398028349972,1635100060,1635100060
13481858,398028349972,1635100060,1635100060
13481859,398028349972,1635100060,1635100060
13481860,398028349972,1635100060,1635100060
13481861,398028349972,1635100060,1635100060
13481862,398028349972,1635100060,1635100060
13481863,398028349972,1635100060,1635100060
13481864,398028349972,1635100060,1635100060
13481865,398028349972,1635100060,1635100060
13481866,398028349972,1635100060,1635100060
13481867,398028349972,1635100060,1635100060
13481868,398028349972,1635100060,1635100060
13481869,398028349972,1635100060,1635100060
13481870,398028349972,1635100060,1635100060
13481871,398028349972,1635100060,1635100060
13481872,398028349972,1635100060,1635100060
13481873,398028349972,1635100060,1635100060
13481874,398028349972,1635100060,1635100060
13481875,398028349972,1635100060,1635100060
13481876,398028349972,1635100060,1635100060
13481877,398028349972,1635100060,1635100060
13481878,398028349972,1635100060,1635100060
13481879,398028349972,1635100060,1635100060
13481880,398028349972,1635100060,1635100060
13481881,398028349972,1635100060,1635100060
13481882,398028349972,1635100060,1635100060
13481883,398028349972,1635100060,1635100060
13481884,398028349972,1635100060,1635100060
13481885,398028349972,1635100060,1635100060
13481886,398028349972,1635100060,1635100060
13481887,398028349972,1635100060,1635100060
13481888,398028349972,1635100060,1635100060
13481889,398028349972,1635100060,1635100060
13481890,398028349972,1635100060,1635100060
13481891,398028349972,1635100060,1635100060
13481892,398028349972,1635100060,1635100060
13481893,398028349972,1635100060,1635100060
13481894,398028349972,1635100060,1635100060
13481895,398028349972,1635100060,1635100060
13481896,398028349972,1635100060,1635100060
13481897,398028349972,1635100060,1635100060
13481898,398028349972,1635100060,1635100060
13481899,398028349972,1635100060,1635100060
13481900,398028349972,1635100060,1635100060
13481901,398028349972,1635100060,1635100060
13481902,398028349972,1635100060,1635100060
13481903,398028349972,1635100060,1635100060
13481904,398028349972,1635100060,1635100060
13481905,398028349972,1635100060,1635100060
13481906,398028349972,1635100060,1635100060
13481907,398028349972,1635100060,1635100060
13481908,398028349972,1635100060,1635100060
13481909,398028349972,1635100060,1635100060
13481910,398028349972,1635100060,1635100060
13481911,398028349972,1635100060,1635100060
13481912,398028349972,1635100060,1635100060
13481913,399513790723,1635101767,1635101767
13481914,399513790723,1635101767,1635101767
13481915,399513790723,1635101767,1635101767
