block,price,ts
13539192,3031454440000000000,1635878622
13539193,3031454440000000000,1635878635
13539194,3031454440000000000,1635878638
13539195,3031454440000000000,1635878648
13539196,3031454440000000000,1635878670
13539197,3031454440000000000,1635878678
13539198,3031454440000000000,1635878684
13539199,3031454440000000000,1635878702
13539200,3031454440000000000,1635878721
13539201,3031454440000000000,1635878730
13539202,3031454440000000000,1635878772
13539203,3031454440000000000,1635878782
13539204,3031454440000000000,1635878812
13539205,3031454440000000000,1635878818
13539206,3031454440000000000,1635878849
13539207,3031454440000000000,1635878863
13539208,3031454440000000000,1635878889
13539209,3031454440000000000,1635878890
13539210,3031454440000000000,1635878900
13539211,3031454440000000000,1635878913
13539212,3031454440000000000,1635878937
13539213,3031454440000000000,1635878961
13539214,3031454440000000000,1635878974
13539215,3031454440000000000,1635878987
13539216,3031454440000000000,1635878995
13539217,3031454440000000000,1635879002
13539218,3031454440000000000,1635879008
13539219,3031454440000000000,1635879010
13539220,3031454440000000000,1635879028
13539221,3031454440000000000,1635879040
13539222,3031454440000000000,1635879050
13539223,3031454440000000000,1635879067
13539224,3031454440000000000,1635879089
13539225,3031454440000000000,1635879108
13539226,3031454440000000000,1635879167
13539227,3031454440000000000,1635879177
13539228,3031454440000000000,1635879199
13539229,3031454440000000000,1635879205
13539230,3031454440000000000,1635879227
13539231,3031454440000000000,1635879232
13539232,3031454440000000000,1635879249
13539233,3031454440000000000,1635879251
13539234,3031454440000000000,1635879255
13539235,3031454440000000000,1635879258
13539236,3031454440000000000,1635879267
13539237,3031454440000000000,1635879278
13539238,3031454440000000000,1635879288
13539239,3031454440000000000,1635879312
13539240,3031454440000000000,1635879319
13539241,3031454440000000000,1635879336
13539242,3031454440000000000,1635879348
13539243,3031454440000000000,1635879353
13539244,3031454440000000000,1635879355
13539245,3031454440000000000,1635879357
13539246,3031454440000000000,1635879371
13539247,3031454440000000000,1635879401
13539248,3031454440000000000,1635879411
13539249,3031454440000000000,1635879436
13539250,3031454440000000000,1635879460
13539251,3031454440000000000,1635879488
13539252,3031454440000000000,1635879499
13539253,3031454440000000000,1635879519
13539254,3031454440000000000,1635879523
13539255,3031454440000000000,1635879526
13539256,3031454440000000000,1635879555
13539257,3031454440000000000,1635879564
13539258,3031454440000000000,1635879583
13539259,3031454440000000000,1635879591
13539260,3031454440000000000,1635879593
13539261,3031454440000000000,1635879623
13539262,3031454440000000000,1635879628
13539263,3031454440000000000,1635879637
13539264,3031454440000000000,1635879646
13539265,3031454440000000000,1635879660
13539266,3031454440000000000,1635879693
13539267,3031454440000000000,1635879717
13539268,3031454440000000000,1635879719
13539269,3031454440000000000,1635879726
13539270,3031454440000000000,1635879732
13539271,3031454440000000000,1635879748
13539272,3031454440000000000,1635879767
13539273,3031454440000000000,1635879769
13539274,3031454440000000000,1635879772
13539275,3031454440000000000,1635879794
13539276,3031454440000000000,1635879823
13539277,3031454440000000000,1635879859
13539278,3031454440000000000,1635879903
13539279,3031454440000000000,1635879908
13539280,3031454440000000000,1635879921
13539281,3031454440000000000,1635879926
13539282,3031454440000000000,1635879939
13539283,3031454440000000000,1635879941
13539284,3031454440000000000,1635879959
13539285,3031454440000000000,1635879969
13539286,3031454440000000000,1635879974
13539287,3031454440000000000,1635879981
13539288,3031454440000000000,1635879987
13539289,3031454440000000000,1635880007
13539290,3031454440000000000,1635880014
13539291,3031454440000000000,1635880033
13539292,3031454440000000000,1635880039
13539293,3031454440000000000,1635880044
13539294,3031454440000000000,1635880046
13539295,3031454440000000000,1635880053
13539296,3031454440000000000,1635880059
13539297,3031454440000000000,1635880067
13539298,3031454440000000000,1635880095
13539299,3031454440000000000,1635880157
13539300,3031454440000000000,1635880159
13539301,3031454440000000000,1635880163
13539302,3031454440000000000,1635880165
13539303,3031454440000000000,1635880172
13539304,3031454440000000000,1635880194
13539305,3031454440000000000,1635880199
13539306,3031454440000000000,1635880207
13539307,3031454440000000000,1635880216
13539308,3031454440000000000,1635880223
13539309,3031454440000000000,1635880243
13539310,3031454440000000000,1635880245
13539311,3031454440000000000,1635880262
13539312,3031454440000000000,1635880269
13539313,3031454440000000000,1635880276
13539314,3031454440000000000,1635880279
13539315,3031454440000000000,1635880298
13539316,3031454440000000000,1635880311
13539317,3031454440000000000,1635880312
13539318,3031454440000000000,1635880345
13539319,3031454440000000000,1635880356
13539320,3031454440000000000,1635880361
13539321,3031454440000000000,1635880383
13539322,3031454440000000000,1635880391
13539323,3031454440000000000,1635880418
13539324,3031454440000000000,1635880462
13539325,3031454440000000000,1635880500
13539326,3031454440000000000,1635880507
13539327,3031454440000000000,1635880518
13539328,3031454440000000000,1635880530
13539329,3031454440000000000,1635880562
13539330,3031454440000000000,1635880568
13539331,3031454440000000000,1635880587
13539332,3031454440000000000,1635880594
13539333,3031454440000000000,1635880627
13539334,3031454440000000000,1635880629
13539335,3031454440000000000,1635880652
13539336,3031454440000000000,1635880655
13539337,3031454440000000000,1635880664
13539338,3031454440000000000,1635880678
13539339,3031454440000000000,1635880713
13539340,3031454440000000000,1635880737
13539341,3031454440000000000,1635880742
